Cause_of_death,Age,Subjects_gender,Region,Subjects_race,Cluster
Gunshot,43.0,Male,West,European-American/White,0
Vehicle,31.0,Male,West,European-American/White,0
Gunshot,33.0,Male,Southeast,European-American/White,0
Others,33.0,Male,West,Hispanic/Latino,0
Gunshot,27.0,Female,West,European-American/White,0
Vehicle,52.0,Male,West,European-American/White,0
Gunshot,46.0,Male,Southeast,Hispanic/Latino,1
Gunshot,20.0,Male,West,European-American/White,0
Gunshot,23.0,Male,Midwest,African-American/Black,1
Gunshot,29.0,Male,Southeast,African-American/Black,1
Vehicle,33.0,Male,Southeast,European-American/White,2
Gunshot,35.0,Male,Southeast,European-American/White,0
Gunshot,63.0,Male,Northeast,European-American/White,0
Vehicle,27.0,Male,Midwest,African-American/Black,2
Vehicle,33.0,Male,Midwest,African-American/Black,2
Gunshot,33.0,Male,Midwest,European-American/White,0
Vehicle,27.0,Male,Midwest,Hispanic/Latino,2
Gunshot,42.0,Male,West,Hispanic/Latino,0
Vehicle,33.0,Male,Northeast,African-American/Black,2
Gunshot,19.0,Male,Midwest,African-American/Black,1
Gunshot,40.0,Male,Southwest,European-American/White,0
Gunshot,40.0,Male,West,Asian/Pacific Islander,0
Gunshot,21.0,Male,Midwest,African-American/Black,1
Gunshot,40.0,Male,West,European-American/White,0
Gunshot,16.0,Male,Midwest,European-American/White,0
Vehicle,16.0,Male,Midwest,European-American/White,2
Vehicle,16.0,Male,Midwest,European-American/White,2
Gunshot,23.0,Male,Northeast,African-American/Black,1
Others,24.0,Male,Northeast,African-American/Black,1
Gunshot,44.0,Male,Midwest,European-American/White,0
Gunshot,42.0,Male,Southeast,European-American/White,0
Vehicle,30.0,Male,Southeast,European-American/White,2
Gunshot,29.0,Male,West,Hispanic/Latino,0
Vehicle,37.0,Female,Midwest,European-American/White,2
Gunshot,23.0,Male,Southwest,Hispanic/Latino,0
Vehicle,49.0,Male,Southeast,European-American/White,2
Vehicle,16.0,Male,Southeast,European-American/White,2
Vehicle,28.0,Female,West,European-American/White,0
Gunshot,34.0,Male,Southeast,European-American/White,0
Vehicle,28.0,Male,Midwest,European-American/White,2
Vehicle,42.0,Female,Midwest,European-American/White,2
Vehicle,28.0,Male,Southwest,European-American/White,2
Gunshot,20.0,Male,Southeast,African-American/Black,1
Gunshot,74.0,Male,Southeast,European-American/White,0
Gunshot,33.0,Male,West,Hispanic/Latino,0
Gunshot,33.0,Male,West,European-American/White,0
Gunshot,30.0,Male,Northeast,European-American/White,0
Gunshot,25.0,Male,Midwest,European-American/White,0
Gunshot,36.0,Male,Midwest,European-American/White,0
Gunshot,60.0,Male,Midwest,European-American/White,0
Vehicle,37.0,Female,Midwest,European-American/White,2
Vehicle,34.0,Female,Midwest,European-American/White,2
Vehicle,36.0,Male,Southwest,Native American/Alaskan,2
Vehicle,33.0,Female,Southwest,Native American/Alaskan,2
Vehicle,1.0,Female,Southwest,Native American/Alaskan,2
Vehicle,19.0,Male,Southwest,European-American/White,2
Gunshot,24.0,Male,Northeast,European-American/White,0
Vehicle,45.0,Male,Northeast,European-American/White,2
Gunshot,23.0,Male,Midwest,African-American/Black,1
Vehicle,36.0,Male,Midwest,European-American/White,2
Gunshot,46.0,Male,West,Hispanic/Latino,0
Vehicle,15.0,Male,Midwest,European-American/White,2
Gunshot,26.0,Male,Northeast,African-American/Black,1
Gunshot,40.0,Male,Midwest,African-American/Black,1
Vehicle,24.0,Male,Northeast,European-American/White,2
Gunshot,23.0,Male,Southeast,African-American/Black,1
Gunshot,45.0,Male,Southwest,European-American/White,0
Others,59.0,Male,West,Hispanic/Latino,0
Others,51.0,Male,West,European-American/White,0
Gunshot,36.0,Female,Southwest,Native American/Alaskan,0
Gunshot,31.0,Male,Northeast,European-American/White,0
Gunshot,33.0,Male,Southwest,Hispanic/Latino,0
Vehicle,74.0,Female,West,European-American/White,0
Vehicle,69.0,Male,West,European-American/White,0
Gunshot,33.0,Male,Southeast,European-American/White,0
Vehicle,10.0,Female,Southeast,European-American/White,2
Vehicle,13.0,Male,West,Native American/Alaskan,0
Others,36.0,Male,West,Hispanic/Latino,0
Gunshot,20.0,Male,Southwest,Hispanic/Latino,0
Vehicle,33.0,Female,Southeast,African-American/Black,1
Vehicle,33.0,Male,Southeast,African-American/Black,1
Vehicle,31.0,Male,Southeast,African-American/Black,1
Gunshot,18.0,Male,Midwest,European-American/White,0
Vehicle,18.0,Male,Northeast,African-American/Black,1
Vehicle,30.0,Male,Southeast,European-American/White,2
Vehicle,39.0,Female,Southeast,African-American/Black,1
Vehicle,18.0,Female,Midwest,African-American/Black,2
Vehicle,17.0,Female,Midwest,European-American/White,2
Vehicle,19.0,Female,Midwest,African-American/Black,2
Gunshot,28.0,Male,Midwest,European-American/White,0
Gunshot,18.0,Male,West,Hispanic/Latino,0
Vehicle,15.0,Male,Northeast,European-American/White,2
Gunshot,30.0,Male,Southeast,African-American/Black,1
Gunshot,18.0,Male,Southeast,African-American/Black,1
Others,40.0,Male,Southwest,African-American/Black,1
Gunshot,34.0,Male,Southeast,African-American/Black,1
Gunshot,17.0,Male,Northeast,African-American/Black,1
Gunshot,19.0,Male,Northeast,African-American/Black,1
Gunshot,28.0,Male,West,European-American/White,0
Gunshot,26.0,Male,West,Hispanic/Latino,0
Gunshot,35.0,Male,Midwest,European-American/White,0
Vehicle,19.0,Male,Midwest,European-American/White,2
Gunshot,23.0,Male,West,Hispanic/Latino,0
Gunshot,30.0,Female,Southeast,African-American/Black,1
Vehicle,24.0,Male,West,European-American/White,0
Gunshot,43.0,Male,West,European-American/White,0
Vehicle,42.0,Male,Midwest,Hispanic/Latino,2
Vehicle,39.0,Female,Northeast,European-American/White,2
Gunshot,40.0,Male,West,African-American/Black,0
Gunshot,38.0,Male,West,European-American/White,0
Gunshot,35.0,Male,Southeast,African-American/Black,1
Gunshot,37.0,Male,Southeast,African-American/Black,1
Gunshot,47.0,Male,Northeast,European-American/White,0
Gunshot,20.0,Male,Southeast,African-American/Black,1
Vehicle,44.0,Male,West,European-American/White,0
Gunshot,49.0,Male,Southeast,European-American/White,0
Vehicle,16.0,Female,Southeast,European-American/White,2
Gunshot,41.0,Male,Northeast,African-American/Black,1
Gunshot,36.0,Male,Southeast,European-American/White,0
Gunshot,28.0,Male,West,European-American/White,0
Gunshot,29.0,Male,Southeast,European-American/White,0
Gunshot,25.0,Male,Southeast,African-American/Black,1
Gunshot,31.0,Female,West,European-American/White,0
Gunshot,34.0,Male,West,Hispanic/Latino,0
Vehicle,33.0,Male,Southwest,European-American/White,2
Gunshot,33.0,Male,Southeast,European-American/White,0
Vehicle,16.0,Male,Southeast,European-American/White,2
Gunshot,17.0,Male,Northeast,African-American/Black,1
Gunshot,40.0,Male,West,African-American/Black,0
Gunshot,23.0,Male,West,Hispanic/Latino,0
Vehicle,33.0,Male,West,European-American/White,0
Gunshot,27.0,Male,Southeast,European-American/White,0
Gunshot,37.0,Male,Midwest,European-American/White,0
Gunshot,19.0,Male,Southwest,Hispanic/Latino,0
Gunshot,49.0,Male,Southeast,European-American/White,0
Vehicle,23.0,Male,Midwest,European-American/White,2
Vehicle,66.0,Male,Southeast,European-American/White,2
Gunshot,31.0,Male,West,European-American/White,0
Gunshot,39.0,Male,Midwest,European-American/White,0
Gunshot,49.0,Male,Southwest,European-American/White,0
Gunshot,21.0,Male,Southeast,African-American/Black,1
Gunshot,19.0,Male,Midwest,European-American/White,0
Gunshot,25.0,Male,Southeast,Asian/Pacific Islander,1
Gunshot,43.0,Male,Northeast,European-American/White,0
Gunshot,21.0,Male,Northeast,Hispanic/Latino,0
Vehicle,19.0,Female,Northeast,European-American/White,2
Gunshot,46.0,Male,Southwest,Hispanic/Latino,0
Vehicle,40.0,Male,Midwest,African-American/Black,2
Others,40.0,Male,Southwest,Hispanic/Latino,0
Gunshot,28.0,Male,Northeast,European-American/White,0
Vehicle,79.0,Male,Midwest,African-American/Black,2
Gunshot,17.0,Male,West,European-American/White,0
Others,39.0,Male,West,European-American/White,0
Gunshot,22.0,Male,West,Hispanic/Latino,0
Gunshot,17.0,Male,West,African-American/Black,0
Gunshot,30.0,Male,West,African-American/Black,0
Gunshot,21.0,Male,Southeast,African-American/Black,1
Vehicle,20.0,Male,Southeast,European-American/White,2
Gunshot,23.0,Male,Southeast,European-American/White,0
Vehicle,40.0,Female,Southeast,African-American/Black,1
Vehicle,32.0,Male,Southeast,African-American/Black,1
Vehicle,32.0,Male,Southwest,European-American/White,2
Vehicle,12.0,Female,Southwest,African-American/Black,1
Vehicle,11.0,Female,Southwest,African-American/Black,1
Vehicle,16.0,Male,Southeast,European-American/White,2
Vehicle,18.0,Male,Southeast,African-American/Black,1
Gunshot,33.0,Male,West,African-American/Black,0
Gunshot,43.0,Male,West,Hispanic/Latino,0
Others,32.0,Male,Southeast,European-American/White,0
Gunshot,37.0,Male,West,African-American/Black,0
Gunshot,29.0,Male,Southeast,European-American/White,0
Vehicle,45.0,Female,West,Hispanic/Latino,0
Gunshot,39.0,Male,Midwest,European-American/White,0
Others,45.0,Male,Northeast,European-American/White,0
Vehicle,41.0,Female,Southeast,African-American/Black,1
Gunshot,37.0,Male,West,European-American/White,0
Gunshot,44.0,Female,West,Asian/Pacific Islander,0
Gunshot,35.0,Male,West,Hispanic/Latino,0
Vehicle,22.0,Male,West,Asian/Pacific Islander,0
Vehicle,22.0,Male,West,European-American/White,0
Gunshot,21.0,Male,Midwest,European-American/White,0
Gunshot,33.0,Male,Northeast,European-American/White,0
Gunshot,54.0,Male,Southeast,African-American/Black,1
Gunshot,37.0,Male,Northeast,European-American/White,0
Gunshot,37.0,Male,West,African-American/Black,0
Vehicle,17.0,Male,Northeast,African-American/Black,1
Gunshot,19.0,Male,Southeast,African-American/Black,1
Gunshot,39.0,Male,Midwest,European-American/White,0
Vehicle,24.0,Male,Northeast,African-American/Black,1
Gunshot,51.0,Male,Southeast,European-American/White,0
Gunshot,23.0,Male,West,Hispanic/Latino,0
Gunshot,38.0,Male,West,European-American/White,0
Gunshot,24.0,Male,Northeast,European-American/White,0
Gunshot,23.0,Female,Northeast,European-American/White,0
Gunshot,25.0,Male,Southeast,African-American/Black,1
Others,36.0,Male,Midwest,European-American/White,2
Gunshot,54.0,Male,West,European-American/White,0
Gunshot,20.0,Male,Midwest,African-American/Black,1
Gunshot,30.0,Male,West,European-American/White,0
Gunshot,21.0,Male,Southeast,European-American/White,0
Vehicle,21.0,Female,West,European-American/White,0
Vehicle,24.0,Male,West,European-American/White,0
Others,34.0,Male,West,Hispanic/Latino,0
Gunshot,65.0,Male,Southeast,Hispanic/Latino,1
Gunshot,34.0,Male,Midwest,European-American/White,0
Gunshot,28.0,Male,Southwest,Native American/Alaskan,0
Vehicle,27.0,Female,Southeast,African-American/Black,1
Gunshot,25.0,Male,Midwest,African-American/Black,1
Gunshot,22.0,Male,Midwest,European-American/White,0
Gunshot,43.0,Male,Southeast,African-American/Black,1
Gunshot,20.0,Male,Southeast,African-American/Black,1
Vehicle,36.0,Male,Northeast,European-American/White,2
Gunshot,51.0,Male,Northeast,African-American/Black,1
Gunshot,53.0,Male,Southeast,African-American/Black,1
Gunshot,42.0,Male,Northeast,African-American/Black,1
Others,27.0,Male,West,European-American/White,0
Gunshot,31.0,Male,West,European-American/White,0
Gunshot,23.0,Male,Southeast,African-American/Black,1
Gunshot,34.0,Male,West,Hispanic/Latino,0
Vehicle,27.0,Male,Northeast,European-American/White,2
Vehicle,16.0,Male,West,European-American/White,0
Gunshot,21.0,Male,Northeast,European-American/White,0
Gunshot,33.0,Male,West,European-American/White,0
Vehicle,33.0,Female,West,Hispanic/Latino,0
Vehicle,75.0,Male,Midwest,European-American/White,2
Vehicle,22.0,Male,Southeast,European-American/White,1
Vehicle,38.0,Male,Northeast,European-American/White,2
Gunshot,20.0,Male,Southeast,African-American/Black,1
Gunshot,48.0,Male,Southeast,African-American/Black,1
Vehicle,50.0,Female,Midwest,African-American/Black,2
Gunshot,18.0,Male,Northeast,African-American/Black,1
Gunshot,33.0,Male,Midwest,European-American/White,0
Others,31.0,Male,Northeast,African-American/Black,1
Vehicle,22.0,Male,Northeast,European-American/White,2
Gunshot,39.0,Male,Northeast,African-American/Black,1
